epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1558198207552,2019-05-18T18:50:07.552,0.000,0.200,-0.865,0.365
1558198207632,2019-05-18T18:50:07.632,0.080,0.203,-0.873,0.370
1558198207712,2019-05-18T18:50:07.712,0.160,0.202,-0.871,0.368
1558198207792,2019-05-18T18:50:07.792,0.240,0.202,-0.871,0.369
1558198207872,2019-05-18T18:50:07.872,0.320,0.201,-0.872,0.369
1558198207952,2019-05-18T18:50:07.952,0.400,0.201,-0.872,0.370
1558198208032,2019-05-18T18:50:08.032,0.480,0.202,-0.871,0.370
1558198208112,2019-05-18T18:50:08.112,0.560,0.202,-0.872,0.370
1558198208192,2019-05-18T18:50:08.192,0.640,0.201,-0.872,0.370
1558198208272,2019-05-18T18:50:08.272,0.720,0.202,-0.871,0.369
1558198208352,2019-05-18T18:50:08.352,0.800,0.202,-0.871,0.370
1558198208432,2019-05-18T18:50:08.432,0.880,0.201,-0.872,0.369
1558198208512,2019-05-18T18:50:08.512,0.960,0.201,-0.871,0.370
1558198208592,2019-05-18T18:50:08.592,1.040,0.201,-0.871,0.370
1558198208672,2019-05-18T18:50:08.672,1.120,0.202,-0.871,0.369
1558198208752,2019-05-18T18:50:08.752,1.200,0.202,-0.871,0.371
1558198208832,2019-05-18T18:50:08.832,1.280,0.201,-0.871,0.371
1558198208912,2019-05-18T18:50:08.912,1.360,0.202,-0.871,0.370
1558198208992,2019-05-18T18:50:08.992,1.440,0.202,-0.872,0.371
1558198209072,2019-05-18T18:50:09.072,1.520,0.202,-0.871,0.370
1558198209152,2019-05-18T18:50:09.152,1.600,0.202,-0.872,0.370
1558198209232,2019-05-18T18:50:09.232,1.680,0.203,-0.871,0.371
1558198209312,2019-05-18T18:50:09.312,1.760,0.202,-0.872,0.370
1558198209392,2019-05-18T18:50:09.392,1.840,0.201,-0.872,0.370
1558198209472,2019-05-18T18:50:09.472,1.920,0.202,-0.871,0.371
1558198209552,2019-05-18T18:50:09.552,2.000,0.202,-0.872,0.370
1558198209632,2019-05-18T18:50:09.632,2.080,0.202,-0.872,0.370
1558198209712,2019-05-18T18:50:09.712,2.160,0.202,-0.871,0.370
1558198209792,2019-05-18T18:50:09.792,2.240,0.202,-0.872,0.370
1558198209872,2019-05-18T18:50:09.872,2.320,0.202,-0.872,0.369
1558198209952,2019-05-18T18:50:09.952,2.400,0.202,-0.871,0.370
1558198210032,2019-05-18T18:50:10.032,2.480,0.201,-0.871,0.372
1558198210112,2019-05-18T18:50:10.112,2.560,0.203,-0.872,0.368
1558198210192,2019-05-18T18:50:10.192,2.640,0.202,-0.872,0.370
1558198210272,2019-05-18T18:50:10.272,2.720,0.201,-0.873,0.373
1558198210352,2019-05-18T18:50:10.352,2.800,0.202,-0.871,0.370
1558198210432,2019-05-18T18:50:10.432,2.880,0.202,-0.872,0.370
1558198210512,2019-05-18T18:50:10.512,2.960,0.201,-0.873,0.370
1558198210592,2019-05-18T18:50:10.592,3.040,0.201,-0.873,0.371
1558198210672,2019-05-18T18:50:10.672,3.120,0.201,-0.871,0.370
1558198210752,2019-05-18T18:50:10.752,3.200,0.203,-0.872,0.370
1558198210832,2019-05-18T18:50:10.832,3.280,0.201,-0.872,0.371
1558198210912,2019-05-18T18:50:10.912,3.360,0.202,-0.872,0.370
1558198210992,2019-05-18T18:50:10.992,3.440,0.202,-0.871,0.370
1558198211072,2019-05-18T18:50:11.072,3.520,0.202,-0.871,0.371
